"DNASample","LibraryPrepID","LibraryPlateID","KeyfilePopulationLabel","DNA_Plate","KeyfilePedigree","FullSampleName","OrigKeyFile","Population","Institute"
"4_1_1962",250253778,450018265,"BreedersLandraces","IITA_LR_002",NA,"4_1_1962:250253778","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"88713",250254558,450018271,"BreedersLandraces","IITA_LR_008",NA,"88713:250254558","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"95_0109",250254365,450018270,"BreedersLandraces","IITA_LR_007",NA,"95_0109:250254365","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"96_1414",250254487,450018271,"BreedersLandraces","IITA_LR_008",NA,"96_1414:250254487","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"96_1444",250254674,450018272,"BreedersLandraces","IITA_LR_009",NA,"96_1444:250254674","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG14",250254501,450018271,"BreedersLandraces","IITA_LR_008",NA,"ANG14:250254501","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG18",250253761,450018265,"BreedersLandraces","IITA_LR_002",NA,"ANG18:250253761","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG18",250253913,450018266,"BreedersLandraces","IITA_LR_003",NA,"ANG18:250253913","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG20",250254681,450018272,"BreedersLandraces","IITA_LR_009",NA,"ANG20:250254681","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"ANG26",250254693,450018272,"BreedersLandraces","IITA_LR_009",NA,"ANG26:250254693","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"B_BLILKP",250254110,450018268,"BreedersLandraces","IITA_LR_005",NA,"B_BLILKP:250254110","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"CM5306_8",250253609,450018264,"BreedersLandraces","IITA_LR_001",NA,"CM5306_8:250253609","cassavaGBSkey_20160607","BreedersLandraces","IITA"
"I30555",250254006,450018267,"BreedersLandraces","IITA_LR_004",NA,"I30555:250254006","cassavaGBSkey_20160607","BreedersLandraces","IITA"
