"germplasmName","FullSampleName"
"TMEB1310","KIROBA:250253728"
"TMEB1310","TMEB1310:250254238"
"TMEB1310","KIROBA:250304597"
"TMEB1310","TMEB1310:250304612"
"TMEB1310","Kiroba:250251077"
"TMEB1310","KIROBA:CA8RLANXX:2:525796"
"TMEB1310","KIROBA:CA8RLANXX:2:525811"
"TMEB1310","KIROBA:CA8RLANXX:2:525828"
"TMEB1310","KIROBA:CA8RLANXX:2:525838"
"TMEB1310","KIROBA:CA8RLANXX:3:525924"
"TMEB1310","KIROBA:CA8RLANXX:3:525948"
"TMEB1310","KIROBA:CA8RLANXX:5:526059"
"TMEB1310","KIROBA:CA8RLANXX:5:526087"
"TMEB1310","KIROBA:CA8RLANXX:5:526124"
"TMEB1310","KIROBA:CA8RLANXX:5:526130"
"TMEB1310","KIROBA:CA8RLANXX:5:526138"
"TMEB1310","KIROBA:CA8RLANXX:6:526172"
"TMEB1310","KIROBA:CA8RLANXX:6:526210"
"TMEB1310","KIROBA:CA8RLANXX:6:526229"
"TMEB1310","KIROBA:CA8RLANXX:6:526243"
"TMEB1310","KIROBA:CA8RLANXX:7:526302"
"TMEB1310","KIROBA:CA8RLANXX:8:526356"
"TMEB1310","KIROBA:CA93YANXX:4:525993"
"Kiroba","KIROBA:250253728"
"Kiroba","KIROBA:250304597"
"Kiroba","Kiroba:250251077"
"Kiroba","KIROBA:CA8RLANXX:2:525796"
"Kiroba","KIROBA:CA8RLANXX:2:525811"
"Kiroba","KIROBA:CA8RLANXX:2:525828"
"Kiroba","KIROBA:CA8RLANXX:2:525838"
"Kiroba","KIROBA:CA8RLANXX:3:525924"
"Kiroba","KIROBA:CA8RLANXX:3:525948"
"Kiroba","KIROBA:CA8RLANXX:5:526059"
"Kiroba","KIROBA:CA8RLANXX:5:526087"
"Kiroba","KIROBA:CA8RLANXX:5:526124"
"Kiroba","KIROBA:CA8RLANXX:5:526130"
"Kiroba","KIROBA:CA8RLANXX:5:526138"
"Kiroba","KIROBA:CA8RLANXX:6:526172"
"Kiroba","KIROBA:CA8RLANXX:6:526210"
"Kiroba","KIROBA:CA8RLANXX:6:526229"
"Kiroba","KIROBA:CA8RLANXX:6:526243"
"Kiroba","KIROBA:CA8RLANXX:7:526302"
"Kiroba","KIROBA:CA8RLANXX:8:526356"
"Kiroba","KIROBA:CA93YANXX:4:525993"
"TMEB14","TMEB14:250253606"
"TMEB14","ABBEY_IFE:250304739"
"TMEB14","UG110015:CA645ANXX:5:509829"
"TMEB14","UG110015:CA645ANXX:5:509884"
"TMEB14","UG110015:CA645ANXX:5:509908"
"TMEB14","UG110015:CA645ANXX:5:509922"
"TMEB14","UG110015:CA645ANXX:6:509945"
"TMEB14","UG110015:CA645ANXX:6:509950"
"TMEB14","UG110015:CA645ANXX:7:510029"
"TMEB14","UG110015:CA645ANXX:7:510058"
"TMEB14","UG110015:CA645ANXX:7:510074"
"TMEB14","TME14:250494263"
"TMEB419","TMEB419:250253865"
"TMEB419","TMEB419:250090765"
"TMEB419","TMEB419:250302961"
"TMEB419","TMEB419:250304227"
"TMEB419","TMEB419:250475019"
"TMEB419","TME419:250107827"
"TMEB419","TMEB419:250399857"
"TMEB419","TMEB419:250597448"
"TMEB419","TME419:CA8RLANXX:6:526174"
"TMEB419","TMEB419:250249850"
"IITA-TMS-IBA30572","I30572:250253643"
"IITA-TMS-IBA30572","I30572:250090764"
"IITA-TMS-IBA30572","MIGYERA:250304729"
"IITA-TMS-IBA30572","I30572:250597930"
"IITA-TMS-IBA30572","NASE3:CA8RLANXX:7:526276"
"IITA-TMS-IBA30572","NASE3:CA8RLANXX:8:526391"
"IITA-TMS-IBA30572","TMS30572:250107810"
"IITA-TMS-IBA30572","TMSI30572:250475098"
"IITA-TMS-IBA30572","I30572:250249786"
"TMEB693","TMEB693:250253991"
"TMEB693","ANKRA:250304548"
"TMEB693","TMEB693:250304606"
"TMEB693","TMEB693:250099167"
"TMEB693","TMEB693:250597938"
"TMEB693","TME693:250134540"
"ANKRA","ANKRA:250304548"
"ANKRA","TMEB693:250597938"
"ANKRA","TMEB693:250304606"
"ANKRA","TMEB693:250253991"
"ANKRA","TMEB693:250099167"
"ANKRA","TME693:250134540"
"IITA-TMS-IBA980581","I980581:250253626"
"IITA-TMS-IBA980581","I980581:250300439"
"IITA-TMS-IBA980581","I980581:250099215"
"IITA-TMS-IBA980581","I980581:250301591"
"IITA-TMS-IBA980581","TMS980581:250107860"
"IITA-TMS-IBA070004","I070004:250164022"
"IITA-TMS-IBA070004","I070004:250300146"
"IITA-TMS-IBA070004","I070004:250099228"
"IITA-TMS-IBA070004","I070004:250302301"
"IITA-TMS-IBA070004","I070004:250249784"
