"germplasmName","MWgroup","Institute","FullSampleName"
"TMEB419","TrainingPopulations","NRCRI","TMEB419:250253865"
"TMEB419","TrainingPopulations","NRCRI","TMEB419:250090765"
"TMEB419","TrainingPopulations","NRCRI","TMEB419:250302961"
"TMEB419","TrainingPopulations","NRCRI","TMEB419:250304227"
"TMEB419","TrainingPopulations","NRCRI","TMEB419:250475019"
"TMEB419","TrainingPopulations","NRCRI","TME419:250107827"
"TMEB419","TrainingPopulations","NRCRI","TMEB419:250399857"
"TMEB419","TrainingPopulations","NRCRI","TMEB419:250597448"
"TMEB419","TrainingPopulations","NRCRI","TME419:CA8RLANXX:6:526174"
"IITA-TMS-IBA30572","TrainingPopulations","NRCRI","I30572:250253643"
"IITA-TMS-IBA30572","TrainingPopulations","NRCRI","I30572:250090764"
"IITA-TMS-IBA30572","TrainingPopulations","NRCRI","MIGYERA:250304729"
"IITA-TMS-IBA30572","TrainingPopulations","NRCRI","TMS30572:250107810"
"IITA-TMS-IBA30572","TrainingPopulations","NRCRI","I30572:250597930"
"IITA-TMS-IBA30572","TrainingPopulations","NRCRI","NASE3:CA8RLANXX:7:526276"
"IITA-TMS-IBA30572","TrainingPopulations","NRCRI","NASE3:CA8RLANXX:8:526391"
"TMEB693","TrainingPopulations","NRCRI","TMEB693:250253991"
"TMEB693","TrainingPopulations","NRCRI","ANKRA:250304548"
"TMEB693","TrainingPopulations","NRCRI","TMEB693:250304606"
"TMEB693","TrainingPopulations","NRCRI","TMEB693:250099167"
"TMEB693","TrainingPopulations","NRCRI","TME693:250134540"
"TMEB693","TrainingPopulations","NRCRI","TMEB693:250597938"
"TMEB778","TrainingPopulations","NRCRI","TMEB778:250254008"
"TMEB778","TrainingPopulations","NRCRI","MOMBASA:250304620"
"TMEB778","TrainingPopulations","NRCRI","TMEB778:250304613"
"TMEB778","TrainingPopulations","NRCRI","TME778:250367982"
"TMEB778","TrainingPopulations","NRCRI","TMEB778:250597946"
"IITA-TMS-IBA980581","TrainingPopulations","NRCRI","I980581:250253626"
"IITA-TMS-IBA980581","TrainingPopulations","NRCRI","I980581:250300439"
"IITA-TMS-IBA980581","TrainingPopulations","NRCRI","I980581:250099215"
"IITA-TMS-IBA980581","TrainingPopulations","NRCRI","I980581:250301591"
"IITA-TMS-IBA980581","TrainingPopulations","NRCRI","TMS980581:250107860"
"IITA-TMS-IBA011807","TrainingPopulations","NRCRI","I011807:250300337"
"IITA-TMS-IBA011807","TrainingPopulations","NRCRI","I011807:250099271"
"IITA-TMS-IBA011807","TrainingPopulations","NRCRI","I011807:250303090"
"IITA-TMS-IBA011807","TrainingPopulations","NRCRI","TMS011807:250134495"
"IITA-TMS-IBA980505","TrainingPopulations","NRCRI","I980505:250090767"
"IITA-TMS-IBA980505","TrainingPopulations","NRCRI","I980505:250301327"
"IITA-TMS-IBA980505","TrainingPopulations","NRCRI","TMS980505:250107859"
"IITA-TMS-IBA980505","TrainingPopulations","NRCRI","TMS980505:250107981"
"IITA-TMS-IBA961632","TrainingPopulations","NRCRI","I961632:250300546"
"IITA-TMS-IBA961632","TrainingPopulations","NRCRI","I961632:250302298"
"IITA-TMS-IBA961632","TrainingPopulations","NRCRI","I961632:250303829"
"IITA-TMS-IBA961632","TrainingPopulations","NRCRI","TMS961632:250107809"
"IITA-TMS-IBA010046","TrainingPopulations","NRCRI","I010046:250300307"
"IITA-TMS-IBA010046","TrainingPopulations","NRCRI","I010046:250099281"
"IITA-TMS-IBA010046","TrainingPopulations","NRCRI","I010046:250302958"
"IITA-TMS-IBA010046","TrainingPopulations","NRCRI","TMS010046:250107911"
"TMEB594","TrainingPopulations","NRCRI","TMEB1958:250254556"
"TMEB594","TrainingPopulations","NRCRI","TMEB594:250253935"
"TMEB594","TrainingPopulations","NRCRI","CARICASS_1:250090856"
"TMEB594","TrainingPopulations","NRCRI","CARICASS1:250399778"
"IITA-TMS-IBA010903","TrainingPopulations","NRCRI","I010903:250300322"
