"germplasmName","FullSampleName","GID"
"NR090154",NA,"NR090154"
"CR446","CR446:250134467","CR446:250134467"
"CR362","CR362:250134532","CR362:250134532"
"NR110109","NR110109:250134656","NR110109:250134656"
"NR060287",NA,"NR060287"
"NR090200","NR090200:250107814","NR090200:250107814"
"NR090208",NA,"NR090208"
"NR100070","NR100070:250164011","NR100070:250164011"
"NR100116","NR100116:250134795","NR100116:250134795"
"NR100122","NR100122:250134748","NR100122:250134748"
"NR100201","NR100201:250164013","NR100201:250164013"
"NR100299","NR100299:250164008","NR100299:250164008"
"NR090128","NR090128:250107789","NR090128:250107789"
"NR1S10030",NA,"NR1S10030"
"TMS000346","TMS000346:250134474","TMS000346:250134474"
"IITA-TMS-IBA051570","TMS051570:250107964","TMS051570:250107964"
"IITA-TMS-IBA070481","I070481:250300164","I070481:250300164"
"IITA-TMS-IBA070749","I070749:250300162","I070749:250300162"
"IITA-TMS-IBA070982","TMS070982:250107954","TMS070982:250107954"
"AR311","AR311:250134529","AR311:250134529"
"NR100022","NR100022:250134739","NR100022:250134739"
"NR100302","NR100302:250164019","NR100302:250164019"
"NR100322","NR100322:250134744","NR100322:250134744"
"NR100225","NR100225:250134635","NR100225:250134635"
"NR100354","NR100354:250134752","NR100354:250134752"
"NR1S1137","NR1S1137:250134718","NR1S1137:250134718"
"NR1S1190","NR1S1190:250134790","NR1S1190:250134790"
"NR1S1200","NR1S1200:250134730","NR1S1200:250134730"
"IITA-TMS-IBA000203","I000203:250300407","I000203:250300407"
"TMS000364","TMS000364:250134538","TMS000364:250134538"
"IITA-TMS-IBA010093",NA,"IITA-TMS-IBA010093"
"IITA-TMS-IBA010134","TMS010134:250134457","TMS010134:250134457"
"IITA-TMS-IBA051601","I051601:250300201","I051601:250300201"
"TMS070863","TMS070863:250134461","TMS070863:250134461"
"NR100429","NR100429:250134671","NR100429:250134671"
"CR52A4","CR52A4:250134509","CR52A4:250134509"
"NR090016",NA,"NR090016"
"NR090026","NR090026:250107780","NR090026:250107780"
"NR090072","NR090072:250107812","NR090072:250107812"
"NR090074","NR090074:250107798","NR090074:250107798"
"NR090317","NR090317:250107815","NR090317:250107815"
"NR110315","NR110315:250399924","NR110315:250399924"
"NR1S1020","NR1S1020:250164001","NR1S1020:250164001"
"NR1S1141","NR1S1141:250134707","NR1S1141:250134707"
"NR100431","NR100431:250134600","NR100431:250134600"
"NR1S1151","NR1S1151:250134659","NR1S1151:250134659"
"IITA-TMS-IBA011412","I011412:250300323","I011412:250300323"
"IITA-TMS-IBA011663","I011663:250300298","I011663:250300298"
"IITA-TMS-IBA011731","TMS011731:250134498","TMS011731:250134498"
"IITA-TMS-IBA051636","TMS051636:250134536","TMS051636:250134536"
"IITA-TMS-IBA070756","I070756:250300160","I070756:250300160"
"AR1410","AR1410:250399710","AR1410:250399710"
"AR144","AR144:250107805","AR144:250107805"
"NR090088",NA,"NR090088"
"NR100012","NR100012:250134599","NR100012:250134599"
"NR1S1049","NR1S1049:250134732","NR1S1049:250134732"
"NR100019","NR100019:250134788","NR100019:250134788"
"NR100249","NR100249:250134724","NR100249:250134724"
"NR100306","NR100306:250134792","NR100306:250134792"
"NR100325","NR100325:250134717","NR100325:250134717"
"NR100420","NR100420:250134749","NR100420:250134749"
"NR100449","NR100449:250134758","NR100449:250134758"
"NR1S1176","NR1S1176:250134539","NR1S1176:250134539"
"TMS000388","TMS000388:250134473","TMS000388:250134473"
"IITA-TMS-IBA011206","I011206:250300325","I011206:250300325"
"IITA-TMS-IBA051553","I051553:250300205","I051553:250300205"
"TMS990240","TMS990240:250107926","TMS990240:250107926"
"COB475","COB475:250107987","COB475:250107987"
"COB517","COB517:250107949","COB517:250107949"
"CR424","CR424:250134508","CR424:250134508"
"NR060135","NR060135:250107792","NR060135:250107792"
"NR060169","NR060169:250107790","NR060169:250107790"
"NR090037","NR090037:250399928","NR090037:250399928"
"NR090076","NR090076:250107804","NR090076:250107804"
"NR090119","NR090119:250107786","NR090119:250107786"
"NR090182","NR090182:250107820","NR090182:250107820"
"TMEB1","TMEB1:250253593","TMEB1:250253593"
"NR090290","NR090290:250107788","NR090290:250107788"
"NR100011","NR100011:250163983","NR100011:250163983"
"NR100094","NR100094:250163987","NR100094:250163987"
"NR100145","NR100145:250134728","NR100145:250134728"
"NR100233","NR100233:250399923","NR100233:250399923"
"NR100450","NR100450:250163990","NR100450:250163990"
"NR100474","NR100474:250163992","NR100474:250163992"
"NR1S1146","NR1S1146:250134768","NR1S1146:250134768"
"NR1S1185","NR1S1185:250164016","NR1S1185:250164016"
"NR1S1210","NR1S1210:250134723","NR1S1210:250134723"
"IITA-TMS-IBA010131","I010131:250300316","I010131:250300316"
"IITA-TMS-IBA051814","I051814:250300207","I051814:250300207"
"COB544","COB544:250107930","COB544:250107930"
"COB631","COB631:250107921","COB631:250107921"
"CR8A22","CR8A22:250134516","CR8A22:250134516"
"IITA-TMS-MMM96JW1","MM96JW1:250300559","MM96JW1:250300559"
"NR060117","NR060117:250107802","NR060117:250107802"
"NR100013","NR100013:250134741","NR100013:250134741"
"NR100131","NR100131:250164010","NR100131:250164010"
"NR100433","NR100433:250163991","NR100433:250163991"
"IITA-TMS-IBA051653",NA,"IITA-TMS-IBA051653"
"IITA-TMS-IBA070675","I070675:250300167","I070675:250300167"
"IITA-TMS-IBA30572","I30572:250253643","I30572:250253643"
"IITA-TMS-IBA050303","I050303:250300200","I050303:250300200"
"IITA-TMS-IBA050311","I050311:250300193","I050311:250300193"
"IITA-TMS-IBA050998","I050998:250300197","I050998:250300197"
"NR090001",NA,"NR090001"
"NR090040","NR090040:250107781","NR090040:250107781"
"NR090080","NR090080:250134523","NR090080:250134523"
"NR090085","NR090085:250107829","NR090085:250107829"
"NR090165","NR090165:250107823","NR090165:250107823"
"IITA-TMS-IBA011797","I011797:250090770","I011797:250090770"
"NR100194","NR100194:250164000","NR100194:250164000"
"NR100243","NR100243:250163993","NR100243:250163993"
"NR100287","NR100287:250134787","NR100287:250134787"
"NR100312","NR100312:250134755","NR100312:250134755"
