"programName","locationName","studyYear","studyName","studyDesign","MaxNOHAV"
"NRCRI","Umudike",2012,"12CET500TP1umu","Alpha",3
"NRCRI","Kano",2013,"13TP1CET518kano","Alpha",18
"NRCRI","Kano",2013,"Kano2013TP1SET1CGM","RCBD",NA
"NRCRI","Kano",2013,"Kano2013TP1set2CGM","RCBD",NA
"NRCRI","Otobi",2013,"13CET518TP1Otobi","Alpha",5
"NRCRI","Otobi",2013,"Otobi2013TP1set1_225CGM","RCBD",NA
"NRCRI","Otobi",2013,"Otobi2013TP1set2_235CGM","RCBD",NA
"NRCRI","Umudike",2013,"13CET489tp2umu","Alpha",5
"NRCRI","Umudike",2013,"13CET518TP1umu","Alpha",5
"NRCRI","Umudike",2013,"Umudike 2013TP2SET2CGM","RCBD",NA
"NRCRI","Umudike",2013,"Umudike2013TP2set1_125CGM","RCBD",NA
"NRCRI","Umudike",2013,"Umudike2013TP2set3_120CGM","RCBD",NA
"NRCRI","Umudike",2013,"Umudike2013TP2set4_121CGM","RCBD",NA
"NRCRI","Kano",2014,"Kano2014TP1SET1CGM","RCBD",NA
"NRCRI","Kano",2014,"kano2014TP1set2CGM","RCBD",NA
"NRCRI","Umudike",2014,"14CETtp2set2umu","Alpha",5
"NRCRI","Umudike",2014,"15CET1tp1set1umu","CRD",NA
"NRCRI","Kano",2015,"14CETtp2set2kano","RCBD",NA
"NRCRI","Kano",2015,"15TP2set3kano","RCBD",2
"NRCRI","Kano",2015,"kano2015TP2set1CGM","RCBD",NA
"NRCRI","Kano",2015,"Kano2015TP2set2CGM","RCBD",NA
"NRCRI","Kano",2015,"Kano2015TP2set3CGM","RCBD",NA
"NRCRI","Kano",2015,"kano2015TP2set4CGM","RCBD",NA
"NRCRI","Otobi",2015,"Otobi2015set3TP2CGM","RCBD",NA
"NRCRI","Otobi",2015,"Otobi2015set4TP2CGM","RCBD",NA
"NRCRI","Otobi",2015,"Otobi2015TP2set1_125CGM","RCBD",NA
"NRCRI","Otobi",2015,"Otobi2015TP2SET2CGM","RCBD",NA
"NRCRI","Umudike",2015,"15CETtp1set2umu","RCBD",5
"NRCRI","Umudike",2015,"15CETtp2set1umu","Augmented",5
"NRCRI","Umudike",2015,"15crossnblk28cgmumu","Alpha",NA
"NRCRI","Umudike",2015,"15crossnblk60umu","CRD",NA
"NRCRI","Umudike",2015,"15tp2set3umu","RCBD",5
"NRCRI","Umudike",2015,"15tp2set4umu","RCBD",5
"NRCRI","Umudike",2015,"Umudike 2015TP1SET1CGM","RCBD",NA
"NRCRI","Umudike",2015,"Umudike 2015TP1SET2CGM","RCBD",NA
"NRCRI","Umudike",2015,"Umudike 2015TP2SET1CGM","RCBD",NA
"NRCRI","Umudike",2015,"Umudike 2015TP2SET2CGM","RCBD",NA
"NRCRI","Umudike",2015,"Umudike 2015TP2SET3CGM","RCBD",NA
"NRCRI","Umudike",2015,"Umudike2015TP2SET4CGM","RCBD",NA
"NRCRI","Kano",2016,"16C1aCETnonGSKano","Augmented",5
"NRCRI","Umudike",2016,"16C1aCETnonGSOtobi","Alpha",12
"NRCRI","Umudike",2016,"16C1aCETnonGSumu","RCBD",5
"NRCRI","Kano",2017,"17C1aAYTGSkano","RCBD",10
"NRCRI","Kano",2017,"17C1aAYTnonGSkano","Alpha",7
"NRCRI","Otobi",2017,"17C1aAYTGSOtobi","RCBD",9
"NRCRI","Otobi",2017,"17C1bCETOtobi","Augmented",NA
"NRCRI","Umudike",2017,"17C1aAYTGSumu","RCBD",10
"NRCRI","Umudike",2017,"17C1bCETkano","Augmented",18
"NRCRI","Umudike",2017,"17C1bCETnonGSumu","Alpha",4
"NRCRI","Umudike",2017,"17C1bCETumu","Augmented",5
"NRCRI","Umudike",2017,"17tp2set1umu","Augmented",NA
"NRCRI","Umudike",2017,"17tp2set2umu","Augmented",NA
"NRCRI","Umudike",2017,"17tp2set3umu","Augmented",NA
"NRCRI","Umudike",2017,"17tp2set4umu","Augmented",NA
"NRCRI","Abuja",2018,"18C1aGSUYTAbuja","RCBD",6
"NRCRI","Ibadan",2018,"18NCRPIB","Alpha",NA
